ID;AREA;CAMPO_DE_FORMACION;NIVEL;ALCALDIA;INSCRITOS;EGRESADOS;GRADUADOS;Campo_For_Abrev;
1721;;Especialidad;Especialidad;CDMX;22195;4825;7635;Especialidad CDMX;
1722;;Maestría;Maestría;CDMX;36808;8796;9871;Maestría CDMX;
1723;;Doctorado;Doctorado;CDMX;11341;1018;1747;Doctorado CDMX;
1211;Área 4;Artes y humanidades;Especialidad;AOB;10;16;0;Artes y humanidades AOB;
1212;Área 3;Ciencias sociales y derecho ;Especialidad;AOB;217;126;94;Ciencias sociales y derecho AOB;
"1213;Área 1;Ingeniería, manufactura y construcción ;Especialidad;AOB;5;6;0;Ingeniería, manufactura y construcción AOB;"
1214;Área 2;Salud;Especialidad;AOB;131;53;37;Salud AOB;
91221;Área 4;Artes y humanidades;Maestría;AOB;233;40;51;Artes y humanidades AOB;
1222;Área 3;Ciencias sociales y derecho;Maestría;AOB;2010;514;506;Ciencias sociales y derecho AOB;
1223;Área 4;Educación;Maestría;AOB;110;8;26;Educación AOB;
"1224;Área 1;Ingeniería, manufactura y construcción;Maestría;AOB;102;21;12;Ingeniería, manufactura y construcción AOB;"
1225;Área 3;Servicios;Maestría;AOB;95;0;0;Servicios AOB;
1226;Área 2;Salud;Maestría;AOB;26;8;3;Salud AOB;
1231;Área 4;Artes y humanidades;Doctorado;AOB;105;8;11;Artes y humanidades AOB;
1232;Área 3;Ciencias sociales y derecho;Doctorado;AOB;218;47;17;Ciencias sociales y derecho AOB;
1233;Área 4;Educación;Doctorado;AOB;15;4;1;Educación AOB;
"1234;Área 1;Ingeniería, manufactura y construcción;Doctorado;AOB;20;3;2;Ingeniería, manufactura y construcción AOB;"
2211;Área 4;Artes y humanidades;Especialidad;AZC;43;15;16;Artes y humanidades AZC;
2212;Área 3;Ciencias sociales y derecho;Especialidad;AZC;87;62;40;Ciencias sociales y derecho AZC;
"2213;Área 1;Ingeniería, manufactura y construcción;Especialidad;AZC;20;10;7;Ingeniería, manufactura y construcción AZC;"
2221;Área 4;Artes y humanidades;Maestría;AZC;112;12;12;Artes y humanidades AZC;
"2222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;AZC;27;3;7;Ciencias naturales, matemáticas y estadística AZC;"
2223;Área 3;Ciencias sociales y derecho;Maestría;AZC;1239;667;478;Ciencias sociales y derecho AZC;
"2224;Área 1;Ingeniería, manufactura y construcción;Maestría;AZC;408;120;111;Ingeniería, manufactura y construcción AZC;"
2231;Área 4;Artes y humanidades;Doctorado;AZC;18;6;7;Artes y humanidades AZC;
2232;Área 3;Ciencias sociales y derecho;Doctorado;AZC;75;2;2;Ciencias sociales y derecho AZC;
"2233;Área 1;Ingeniería, manufactura y construcción;Doctorado;AZC;133;13;7;Ingeniería, manufactura y construcción AZC;"
3211;Área 4;Artes y humanidades;Especialidad;BJU;15;8;1;Artes y humanidades BJU;
"3212;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;BJU;2;1;0;Ciencias naturales, matemáticas y estadística BJU;"
3213;Área 3;Ciencias sociales y derecho;Especialidad;BJU;1 009;644;405;Ciencias sociales y derecho BJU;
3214;Área 4;Educación;Especialidad;BJU;33;53;17;Educación BJU;
"3215;Área 1;Ingeniería, manufactura y construcción;Especialidad;BJU;29;18;15;Ingeniería, manufactura y construcción BJU;"
3216;Área 2;Salud;Especialidad;BJU;347;140;133;Salud BJU;
3221;Área 4;Artes y humanidades;Maestría;BJU;126;58;53;Artes y humanidades BJU;
"3222;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;BJU;20;5;8;Ciencias naturales, matemáticas y estadística BJU;"
3223;Área 3;Ciencias sociales y derecho;Maestría;BJU;3048;1125;527;Ciencias sociales y derecho BJU;
3224;Área 4;Educación;Maestría;BJU;421;110;116;Educación BJU;
"3225;Área 1;Ingeniería, manufactura y construcción;Maestría;BJU;120;44;12;Ingeniería, manufactura y construcción BJU;"
3226;Área 2;Salud;Maestría;BJU;102;76;94;Salud BJU;
3231;Área 4;Artes y humanidades;Doctorado;BJU;44;13;13;Artes y humanidades BJU;
3232;Área 3;Ciencias sociales y derecho;Doctorado;BJU;269;46;24;Ciencias sociales y derecho BJU;
3233;Área 4;Educación;Doctorado;BJU;37;5;4;Educación BJU;
"3234;Área 1;Ingeniería, manufactura y construcción;Doctorado;BJU;8;0;0;Ingeniería, manufactura y construcción BJU;"
4211;Área 2;Agronomía y veterinaria;Especialidad;COY;58;0;54;Agronomía y veterinaria COY;
4212;Área 4;Artes y humanidades;Especialidad;COY;59;27;44;Artes y humanidades COY;
"4213;Área 1;Ciencias naturales, matemáticas y estadística;Especialidad;COY;113;45;51;Ciencias naturales, matemáticas y estadística COY;"
4214;Área 3;Ciencias sociales y derecho;Especialidad;COY;2285;267;840;Ciencias sociales y derecho COY;
"4215;Área 1;Ingeniería, manufactura y construcción;Especialidad;COY;449;14;137;Ingeniería, manufactura y construcción COY;"
4216;Área 3;Servicios;Especialidad;COY;92;76;66;Servicios COY;
4217;Área 2;Salud;Especialidad;COY;10179;38;3838;Salud COY;
4221;Área 2;Agronomía y veterinaria;Maestría;COY;336;20;155;Agronomía y veterinaria COY;
4222;Área 4;Artes y humanidades;Maestría;COY;955;56;360;Artes y humanidades COY;
"4223;Área 1;Ciencias naturales, matemáticas y estadística;Maestría;COY;2281;12;747;Ciencias naturales, matemáticas y estadística COY;"
4224;Área 3;Ciencias sociales y derecho;Maestría;COY;4858;316;1612;Ciencias sociales y derecho COY;
4225;Área 4;Educación;Maestría;COY;752;34;242;Educación COY;
"4226;Área 1;Ingeniería, manufactura y construcción;Maestría;COY;1948;38;644;Ingeniería, manufactura y construcción COY;"
4227;Área 3;Servicios;Maestría;COY;26;39;39;Servicios COY;
4228;Área 2;Salud;Maestría;COY;847;53;204;Salud COY;
4231;Área 2;Agronomía y veterinaria;Doctorado;COY;157;0;14;Agronomía y veterinaria COY;
4232;Área 4;Artes y humanidades;Doctorado;COY;952;6;124;Artes y humanidades COY;
"4233;Área 1;Ciencias naturales, matemáticas y estadística;Doctorado;COY;2261;12;367;Ciencias naturales, matemáticas y estadística COY;"
4234;Área 3;Ciencias sociales y derecho;Doctorado;COY;1277;54;226;Ciencias sociales y derecho COY;
4235;Área 4;Educación;Doctorado;COY;140;0;28;Educación COY;
"4236;Área 1;Ingeniería, manufactura y construcción;Doctorado;COY;805;0;134;Ingeniería, manufactura y construcción COY;"
4237;Área 3;Servicios;Doctorado;COY;8;5;5;Servicios COY;
4238;Área 2;Salud;Doctorado;COY;381;1;29;Salud COY;
