ID,AREA,CAMPO_FORMACION,NIVEL,ALCALDIA,INSCRITOS,EGRESADOS,GRADUADOS,CAMPO_ABREV
1721,,Especialidad,Especialidad,CDMX,22195,4825,7635,Especialidad CDMX
1722,,Maestria,Maestria,CDMX,36808,8796,9871,Maestria CDMX
1723,,Doctorado,Doctorado,CDMX,11341,1018,1747,Doctorado CDMX
1211,Area 4,Artes y humanidades,Especialidad,AOB,10,16,0,Artes y humanidades AOB
1212,Area 3,Ciencias sociales y derecho ,Especialidad,AOB,217,126,94,Ciencias sociales y derecho AOB
1213,Area 1,"Ingenieria, manufactura y construccion ",Especialidad,AOB,5,6,0,"Ingenieria, manufactura y construccion AOB"
1214,Area 2,Salud,Especialidad,AOB,131,53,37,Salud AOB
91221,Area 4,Artes y humanidades,Maestria,AOB,233,40,51,Artes y humanidades AOB
1222,Area 3,Ciencias sociales y derecho,Maestria,AOB,2010,514,506,Ciencias sociales y derecho AOB
1223,Area 4,Educacion,Maestria,AOB,110,8,26,Educacion AOB
1224,Area 1,"Ingenieria, manufactura y construccion",Maestria,AOB,102,21,12,"Ingenieria, manufactura y construccion AOB"
1225,Area 3,Servicios,Maestria,AOB,95,0,0,Servicios AOB
1226,Area 2,Salud,Maestria,AOB,26,8,3,Salud AOB
1231,Area 4,Artes y humanidades,Doctorado,AOB,105,8,11,Artes y humanidades AOB
1232,Area 3,Ciencias sociales y derecho,Doctorado,AOB,218,47,17,Ciencias sociales y derecho AOB
1233,Area 4,Educacion,Doctorado,AOB,15,4,1,Educacion AOB
1234,Area 1,"Ingenieria, manufactura y construccion",Doctorado,AOB,20,3,2,"Ingenieria, manufactura y construccion AOB"
2211,Area 4,Artes y humanidades,Especialidad,AZC,43,15,16,Artes y humanidades AZC
2212,Area 3,Ciencias sociales y derecho,Especialidad,AZC,87,62,40,Ciencias sociales y derecho AZC
2213,Area 1,"Ingenieria, manufactura y construccion",Especialidad,AZC,20,10,7,"Ingenieria, manufactura y construccion AZC"
2221,Area 4,Artes y humanidades,Maestria,AZC,112,12,12,Artes y humanidades AZC
2222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,AZC,27,3,7,"Ciencias naturales, matematicas y Estadistica AZC"
2223,Area 3,Ciencias sociales y derecho,Maestria,AZC,1239,667,478,Ciencias sociales y derecho AZC
2224,Area 1,"Ingenieria, manufactura y construccion",Maestria,AZC,408,120,111,"Ingenieria, manufactura y construccion AZC"
2231,Area 4,Artes y humanidades,Doctorado,AZC,18,6,7,Artes y humanidades AZC
2232,Area 3,Ciencias sociales y derecho,Doctorado,AZC,75,2,2,Ciencias sociales y derecho AZC
2233,Area 1,"Ingenieria, manufactura y construccion",Doctorado,AZC,133,13,7,"Ingenieria, manufactura y construccion AZC"
3211,Area 4,Artes y humanidades,Especialidad,BJU,15,8,1,Artes y humanidades BJU
